ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00003936;2025-06-21 00:39:33;2025-06-21 01:57:50;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004392;2025-06-21 03:04:26;2025-06-21 03:26:32;False;1325;23;4;324;15738.7177734375;69;0;0;0;0;0;0;0;0;0;166;13397;99
00003887;2025-06-21 03:32:07;2025-06-21 04:07:38;False;2126;107;7;563;28534.375;11;0;0;0;0;0;0;0;0;0;406;78358;82
00004472;2025-06-21 04:09:00;2025-06-21 04:21:51;False;766;6;1;409;19713.322265625;12;0;0;0;0;0;0;0;0;0;142;36295;25
00004423;2025-06-21 04:30:43;2025-06-21 04:41:09;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004423;2025-06-21 04:46:31;2025-06-21 05:33:52;False;2839;4;1;1526;50605.76171875;129;0;0;0;0;0;0;0;0;0;243;18133;129
00004402;2025-06-21 05:43:52;2025-06-21 05:49:27;False;333;2;2;183;4500.9931640625;4;0;0;0;0;0;0;0;0;0;32;4732;9
00004334;2025-06-21 06:12:14;2025-06-21 06:43:59;False;1900;18;2;460;27593.513671875;78;0;0;0;0;0;0;0;0;0;287;29236;162
00004380;2025-06-21 07:45:23;2025-06-21 08:32:55;False;2845;201;20;700;33640.8671875;54;0;0;0;0;0;0;0;0;0;506;86892;125
Module0006;2025-06-21 11:19:58;2025-06-21 11:24:30;False;271;130;2;118;5864.16845703125;2;0;0;0;0;0;0;0;0;0;3;405;2
00004354;2025-06-21 13:17:00;2025-06-21 13:34:05;True;1023;12;2;470;18000.181640625;4;0;0;0;0;0;0;0;0;0;170;36997;21
Module0006;2025-06-21 13:36:06;2025-06-21 13:38:18;False;131;0;0;96;3618.06201171875;3;0;0;0;0;0;0;0;0;0;4;656;2
Module0006;2025-06-21 13:38:54;2025-06-21 13:40:22;False;87;0;1;64;2411.73071289063;2;0;0;0;0;0;0;0;0;0;2;328;1
Module0006;2025-06-21 13:41:34;2025-06-21 13:43:21;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-21 13:41:34;2025-06-21 13:44:39;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;4;766;0
Module0006;2025-06-21 13:41:34;2025-06-21 13:45:52;True;14;0;6;0;0.0;0;0;0;0;0;0;0;0;0;0;13;2299;0
Module0006;2025-06-21 13:41:34;2025-06-21 13:49:55;True;29;1;12;0;0.0;0;0;0;0;0;0;0;0;0;0;27;4599;0
Module0006;2025-06-21 13:41:34;2025-06-21 13:51:07;True;39;2;16;0;0.0;0;0;0;0;0;0;0;0;0;0;36;6133;0
Module0006;2025-06-21 13:41:34;2025-06-21 13:51:47;True;44;2;18;0;0.0;0;0;0;0;0;0;0;0;0;0;40;6899;0
Module0006;2025-06-21 15:39:02;2025-06-21 15:42:03;True;180;19;4;101;3812.72583007813;5;0;0;0;0;0;0;0;0;0;13;784;4
Module0006;2025-06-21 15:53:13;2025-06-21 15:54:12;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-21 16:09:28;2025-06-21 16:26:14;False;1005;17;2;660;25884.36328125;28;0;0;0;0;0;0;0;0;0;68;8258;27
Module0006;2025-06-21 16:29:43;2025-06-21 16:41:26;False;702;0;0;472;18504.92578125;20;0;0;0;0;0;0;0;0;0;47;5703;20
Module0006;2025-06-21 16:44:34;2025-06-21 17:01:14;False;999;0;0;659;25884.912109375;28;0;0;0;0;0;0;0;0;0;68;8258;28
Module0006;2025-06-21 17:11:17;2025-06-21 17:33:11;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-21 17:33:13;2025-06-21 17:33:36;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1
00004092;2025-06-21 18:24:40;2025-06-21 18:25:10;True;27;11;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004092;2025-06-21 18:24:40;2025-06-21 18:25:50;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004092;2025-06-21 18:24:40;2025-06-21 18:30:06;True;1;0;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004092;2025-06-21 18:31:24;2025-06-21 23:15:32;False;17047;7552;41;3477;174865.875;99;0;0;0;0;0;0;0;0;0;1582;282347;394
00004515;2025-06-22 00:14:33;2025-06-22 00:18:58;False;264;0;2;117;5767.357421875;3;0;0;0;0;0;0;0;0;0;25;3818;8
